Start,Year,Month,Day,Value
2025-04-23,2025,4,23,-0.0027558842501935743
2025-04-22,2025,4,22,-0.002031238712609351
2025-04-21,2025,4,21,-0.06469277819642727
2025-04-20,2025,4,20,-0.028159363681231397
2025-04-19,2025,4,19,0.00037762234431326647
2025-04-18,2025,4,18,-0.007817852193714003
2025-04-17,2025,4,17,0.005508767214529087
2025-04-16,2025,4,16,-0.010406573424296184
2025-04-15,2025,4,15,-0.004463262287160319
2025-04-14,2025,4,14,0.009721272717554186
2025-04-13,2025,4,13,-0.009536652644525745
2025-04-12,2025,4,12,0.018882621302616087
2025-04-11,2025,4,11,-0.020952674794255444
2025-04-10,2025,4,10,-0.04795091544565899
2025-04-09,2025,4,9,0.0371147616507308
2025-04-08,2025,4,8,-0.07852997143480778
2025-04-07,2025,4,7,0.03702824342802735
2025-04-06,2025,4,6,-0.012068951055725918
2025-04-05,2025,4,5,0.06514889435978866
2025-04-04,2025,4,4,0.0035569921492815126
2025-04-03,2025,4,3,-0.00813879011585783
2025-04-02,2025,4,2,-0.007863049149815282
2025-04-01,2025,4,1,0.03181501712794699
2025-03-31,2025,3,31,-0.031900061855225204
2025-03-30,2025,3,30,-0.002370956608658048
2025-03-29,2025,3,29,0.0037973456485911328
2025-03-28,2025,3,28,0.021174176554199065
2025-03-27,2025,3,27,0.032692193370222
2025-03-26,2025,3,26,-0.0033109615049706775
2025-03-25,2025,3,25,0.00616472417293501
2025-03-24,2025,3,24,-0.0013392125858793236
2025-03-23,2025,3,23,-0.01866964275261651
2025-03-22,2025,3,22,-0.023025627078919086
2025-03-21,2025,3,21,0.0030033092314685206
2025-03-20,2025,3,20,0.0030251573054353997
2025-03-19,2025,3,19,0.029094879646882177
2025-03-18,2025,3,18,-0.047117692040291814
2025-03-17,2025,3,17,0.015204533898355521
2025-03-16,2025,3,16,-0.017890173252366637
2025-03-15,2025,3,15,0.02146174280694524
2025-03-14,2025,3,14,-0.004880421188572015
2025-03-13,2025,3,13,-0.03406054848611895
2025-03-12,2025,3,12,0.033222512795951786
2025-03-11,2025,3,11,-0.012560059246622401
2025-03-10,2025,3,10,-0.050068324867813985
2025-03-09,2025,3,9,0.02478080023329099
2025-03-08,2025,3,8,0.06457846317627869
2025-03-07,2025,3,7,0.007781746366678277
2025-03-06,2025,3,6,0.0364546300377242
2025-03-05,2025,3,5,0.006172112911565719
2025-03-04,2025,3,4,-0.037009551629216375
2025-03-03,2025,3,3,-0.01193610208962248
2025-03-02,2025,3,2,0.08811132657119458
2025-03-01,2025,3,1,-0.09136127549716377
2025-02-28,2025,2,28,-0.017654271932819654
2025-02-27,2025,2,27,0.003694542641746068
2025-02-26,2025,2,26,-0.00964123075284995
2025-02-25,2025,2,25,0.05553989575119722
2025-02-24,2025,2,24,0.02947570131138555
2025-02-23,2025,2,23,0.051095693927059926
2025-02-22,2025,2,22,0.00314369060447639
2025-02-21,2025,2,21,-0.004046038511182459
2025-02-20,2025,2,20,0.022882837943571488
2025-02-19,2025,2,19,-0.018751252485445846
2025-02-18,2025,2,18,-0.010685903875694791
2025-02-17,2025,2,17,0.0029097304420577785
2025-02-16,2025,2,16,0.0032888718423844665
2025-02-15,2025,2,15,0.014712570594424434
2025-02-14,2025,2,14,-0.000700899615624806
2025-02-13,2025,2,13,-0.009603702024051586
2025-02-12,2025,2,12,0.012845866546223661
2025-02-11,2025,2,11,-0.020832380951079088
2025-02-10,2025,2,10,0.01644772813866524
2025-02-09,2025,2,9,-0.008838492366010087
2025-02-08,2025,2,8,0.0003081940428568686
2025-02-07,2025,2,7,-0.00042517725424318087
